USC_SECTION,CFR_TITLE,CFR_PART
62,26,509
62,26,513
62,26,520
62,26,521
143,26,521
144,26,521
211,26,521
231,26,521
956,26,1
2010,26,20
2010,26,25
2706,25,516
2710,25,291
3791,26,509
3791,26,520
1,26,1
1,26,301
21,26,1
23,26,1
25,26,1
25A,26,1
28,26,1
30,26,1
36B,26,1
36B,32,60
36B,45,156
38,26,1
40,26,1
41,26,1
41,26,301
42,26,1
42,26,301
43,26,1
45D,26,1
46,26,1
47,26,1
47,36,67
48,25,275
48,26,301
52,26,1
56,26,1
56,26,301
58,26,1
61,7,3
61,26,1
62,26,1
62,26,31
66,26,1
67,26,1
72,26,1
82,26,301
101,26,1
103,26,1
103,26,5f
103A,26,1
103A,26,6a
103A-2,26,6a
108,26,1
108,26,301
110,26,1
121,26,301
125,5,892
126,7,14
126,26,16a
129,26,1
132,26,1
141,26,301
143,26,301
141 note,31,344
145,26,301
147,26,301
148,26,1
149,26,1
150,26,1
152,26,1
162,26,1
163,26,1
163,26,5f
165,26,1
165,26,301
166,26,1
167,26,12
168,26,1
168,26,5c
168,26,301
169,40,20
170,40,20
170,26,1
170,36,47
171,26,1
179,26,1
179A,26,1
197,26,1
199,26,1
216,26,1
216,26,301
219,26,301
220,31,346
221,26,1
245,26,301
263,26,12
263,26,301
263A,26,1
263A,26,301
267,26,1
274,26,1
280C,26,1
280F,26,1
280G,26,1
301,26,1
304,26,1
305,26,1
324,26,1
336,26,1
337,26,1
338,26,1
351,26,1
355,26,1
357,26,1
358,26,1
362,26,1
367,26,1
367,26,7
382,26,1
383,26,1
385,26,1
401,26,1
401 note,26,1
401 note,29,2520
402A,26,1
403,26,1
404,26,1
408,26,1
408A,26,1
409,26,1
410,26,1
410,29,2530
411,26,1
411,29,2530
413,29,2530
414,26,1
414,29,2530
417,26,1
419A,26,1
420,26,1
420,32,281
420,32,282
420,32,283
420,32,284
422,26,48
430,26,1
441,26,1
442,26,1
444,26,1
446,26,1
448,26,301
453,26,1
453,26,15a
453A,26,1
453C,26,301
458,26,1
460,26,1
460,26,301
461,26,1
463,26,301
465,26,1
467,26,1
468A,26,1
468B,26,1
468B,26,301
469,26,1
469,26,301
471,26,1
472,26,1
474,26,301
475,26,1
481,26,1
483,26,1
482,26,1
493,26,1
501,32,736
501,34,73
504,26,1
514,26,1
527,26,1
585,26,1
585,26,301
597,26,1
597,26,301
616,26,301
617,26,301
642,26,1
643,26,1
643,26,301
645,26,1
663,26,1
664,26,1
672,26,1
679,26,1
701,26,1
761,26,1
809,26,1
817A,26,1
831,26,301
832,26,1
832,31,343
835,26,301
845,26,1
846,26,1
848,26,1
851,26,1
852,26,1
860E,26,1
860G,26,1
863,26,1
865,26,1
865,26,301
871,26,1
874,26,1
882,26,1
883,26,1
884,26,1
892,26,1
894,26,1
897,26,1
901,26,1
902,26,1
904,26,1
904,26,301
907,26,1
909,26,1
911,26,1
924,26,1
925,26,1
927,26,1
934,26,1
936,26,1
937,26,1
937,26,602
954,26,1
954,26,4
956,26,1
957,26,1
957,26,602
960,26,1
963,26,1
985,26,1
987,26,1
989,26,1
1017,26,1
1032,26,1
1043,5,2634
1043,5,3201
1059,26,1
1059,26,301
1060,26,1
1092,26,1
1102,20,615
1103,26,301
1202,26,1
1221,26,1
1244,26,1
1248,26,1
1254,26,1
1255,7,14
1275,26,1
1286,26,1
1288,26,1
1291,26,1
1293,26,1
1298,26,1
1298,26,1
1301,26,1
1361,26,1
1368,26,1
1374,26,1
1377,26,1
1378,26,1
1391,7,25
1397D,26,1
1397E,26,1
1402,26,1
1441,26,1
1441,26,31
1443,26,1
1445,26,1
1471,26,1
1472,26,1
1473,26,1
1474,26,1
1474,26,301
1502,26,1
1504,26,1
1561,26,1
1705,26,301
2056,26,301
2056A,26,301
2523,26,301
2518,26,25
2632,26,26
2632,26,301
2642,26,26
2652,26,301
2662,26,26
2663,26,26
3121,26,31
3121,26,32
3121,26,36
3121,26,301
3127,26,301
3231,26,32
3301 et seq,20,601
3304,20,604
3304,20,616
3306,20,604
3401,26,1
3401,26,31
3402,26,31
3405,26,35
3406,26,31
3406,26,35a
4041,26,48
4051,26,48
4051,26,145
4052,26,48
4052,26,145
4061,26,48
4061,26,142
4064,26,48
4071,26,48
4073,26,48
4081,26,48
4082,26,48
4083,26,48
4101,26,48
4132,42,100
4181,27,53
4181,27,70
4182,27,53
4182,27,70
4191,26,48
4216,27,53
4219,27,53
4221,27,53
4223,27,53
4222,26,48
4225,27,53
4251,26,49
4293,26,48
4374,26,46
4374,26,47
4461,19,24
4462,19,24
4482,26,41
4483,26,41
4483,26,48
4493,26,154
4662,26,52
4682,26,52
4854,7,28
4911,26,56
4943,26,53
4974,26,54
4980B,26,54
4980F,26,54
4980G,26,54
4980H,26,54
4981A,26,54
4982,26,301
4989,26,150
5000,26,1
5000A,26,1
5000c,26,1
5001,27,19
5001,27,31
5002,27,19
5002,27,31
5001,27,18
5001,27,20
5001,27,22
5001,27,24
5001,27,26
5001,27,27
5001,27,28
5002,27,25
5002,27,29
5004,27,19
5006,27,19
5007,27,26
5007,27,27
5007,27,28
5008,27,26
5008,27,27
5008,27,28
5008,27,19
5008,27,24
5010,27,17
5010,27,19
5010,27,26
5010,27,27
5041,27,24
5042,27,24
5041,27,19
5041,27,26
5041,27,27
5041,27,28
5044,27,24
5051,27,25
5054,27,25
5051,27,26
5051,27,27
5051,27,28
5054,27,27
5054,27,28
5056,27,25
5061,27,19
5061,27,24
5062,27,19
5062,27,24
5061,27,25
5061,27,26
5061,27,27
5061,27,28
5061,27,46
5066,27,19
5111,27,17
5111,27,26
5114,27,17
5114,27,26
5121,27,31
5124,27,31
5121,27,19
5121,27,22
5121,27,24
5121,27,25
5121,27,26
5121,27,27
5121,27,28
5122,27,19
5122,27,24
5122,27,25
5122,27,26
5122,27,27
5124,27,19
5124,27,24
5124,27,25
